trip duration,start time,stop time,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,user type,birth year,gender,start date,start time,end date,end time
00:12:10,2021-01-01 02:34:03.7660,2021-01-01 02:46:14.3090,3185,City Hall,40.717732500000004,-74.04384499999999,3268,Lafayette Park,40.71346382669195,-74.06285852193831,35139,Subscriber,1986,female,2021-01-01,02:34:03.766000,2021-01-01,02:46:14.309000
00:01:21,2021-01-01 02:39:34.4610,2021-01-01 02:40:56.2290,3193,Lincoln Park,40.7246050998869,-74.07840594649316,3193,Lincoln Park,40.7246050998869,-74.07840594649316,43563,Customer,1969,unknown,2021-01-01,02:39:34.461000,2021-01-01,02:40:56.229000
00:46:33,2021-01-01 03:10:49.0690,2021-01-01 03:57:22.1680,3638,Washington St,40.7242941,-74.0354826,3198,Heights Elevator,40.748715945380226,-74.04044330120088,19209,Customer,1969,unknown,2021-01-01,03:10:49.069000,2021-01-01,03:57:22.168000
00:07:12,2021-01-01 03:28:57.9710,2021-01-01 03:36:10.5730,3209,Brunswick St,40.7241765,-74.05065640000001,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,32575,Subscriber,1981,male,2021-01-01,03:28:57.971000,2021-01-01,03:36:10.573000
00:11:00,2021-01-01 03:41:32.9070,2021-01-01 03:52:33.8480,3203,Hamilton Park,40.727595965999996,-74.044247311,3638,Washington St,40.7242941,-74.0354826,48740,Subscriber,2000,male,2021-01-01,03:41:32.907000,2021-01-01,03:52:33.848000
00:24:40,2021-01-01 04:41:32.2040,2021-01-01 05:06:12.6470,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3225,Baldwin at Montgomery,40.7236589,-74.0641943,39421,Customer,1997,male,2021-01-01,04:41:32.204000,2021-01-01,05:06:12.647000
00:11:40,2021-01-01 06:18:05.7210,2021-01-01 06:29:46.2280,3194,McGinley Square,40.7253399253558,-74.06762212514876,3206,Hilltop,40.7311689,-74.0575736,42037,Customer,1969,unknown,2021-01-01,06:18:05.721000,2021-01-01,06:29:46.228000
00:11:31,2021-01-01 06:27:18.9660,2021-01-01 06:38:50.6780,3207,Oakland Ave,40.7376037,-74.05247829999999,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,43572,Subscriber,1991,male,2021-01-01,06:27:18.966000,2021-01-01,06:38:50.678000
00:12:40,2021-01-01 06:43:06.8210,2021-01-01 06:55:47.4820,3194,McGinley Square,40.7253399253558,-74.06762212514876,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,38906,Customer,1969,unknown,2021-01-01,06:43:06.821000,2021-01-01,06:55:47.482000
00:16:07,2021-01-01 06:47:51.4810,2021-01-01 07:03:58.8870,3679,Bergen Ave,40.72210378668603,-74.07145500183104,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,47255,Subscriber,2001,male,2021-01-01,06:47:51.481000,2021-01-01,07:03:58.887000
00:04:46,2021-01-01 06:54:46.7420,2021-01-01 06:59:32.9050,3207,Oakland Ave,40.7376037,-74.05247829999999,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606,40093,Subscriber,1982,male,2021-01-01,06:54:46.742000,2021-01-01,06:59:32.905000
00:04:37,2021-01-01 07:51:09.4780,2021-01-01 07:55:47.2340,3267,Morris Canal,40.7124188237569,-74.03852552175522,3481,York St,40.71649,-74.04105,48742,Subscriber,1985,female,2021-01-01,07:51:09.478000,2021-01-01,07:55:47.234000
00:02:01,2021-01-01 08:52:17.3710,2021-01-01 08:54:18.6460,3681,Grand St,40.71517767732029,-74.03768330812454,3275,Columbus Drive,40.71835519823214,-74.03891444206238,32526,Subscriber,1962,male,2021-01-01,08:52:17.371000,2021-01-01,08:54:18.646000
00:04:26,2021-01-01 09:18:10.0490,2021-01-01 09:22:36.3110,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3187,Warren St,40.721123600000006,-74.03805095,33677,Subscriber,1981,male,2021-01-01,09:18:10.049000,2021-01-01,09:22:36.311000
00:02:11,2021-01-01 09:18:14.0830,2021-01-01 09:20:25.2580,3194,McGinley Square,40.7253399253558,-74.06762212514876,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,41002,Subscriber,1994,female,2021-01-01,09:18:14.083000,2021-01-01,09:20:25.258000
00:24:31,2021-01-01 09:26:19.7390,2021-01-01 09:50:51.5510,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3206,Hilltop,40.7311689,-74.0575736,47045,Subscriber,1989,female,2021-01-01,09:26:19.739000,2021-01-01,09:50:51.551000
00:24:17,2021-01-01 09:26:20.0900,2021-01-01 09:50:37.1450,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3206,Hilltop,40.7311689,-74.0575736,47257,Customer,1969,unknown,2021-01-01,09:26:20.090000,2021-01-01,09:50:37.145000
00:07:54,2021-01-01 09:28:32.5270,2021-01-01 09:36:27.2640,3194,McGinley Square,40.7253399253558,-74.06762212514876,3268,Lafayette Park,40.71346382669195,-74.06285852193831,31496,Subscriber,1975,male,2021-01-01,09:28:32.527000,2021-01-01,09:36:27.264000
00:08:40,2021-01-01 09:31:53.8360,2021-01-01 09:40:34.1110,3268,Lafayette Park,40.71346382669195,-74.06285852193831,3185,City Hall,40.717732500000004,-74.04384499999999,48857,Subscriber,1991,male,2021-01-01,09:31:53.836000,2021-01-01,09:40:34.111000
00:08:46,2021-01-01 09:37:47.0090,2021-01-01 09:46:33.1660,3206,Hilltop,40.7311689,-74.0575736,3280,Astor Place,40.71928220070703,-74.07126188278198,45340,Subscriber,1976,male,2021-01-01,09:37:47.009000,2021-01-01,09:46:33.166000
00:10:22,2021-01-01 09:40:43.7660,2021-01-01 09:51:05.9800,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3638,Washington St,40.7242941,-74.0354826,46538,Customer,1969,unknown,2021-01-01,09:40:43.766000,2021-01-01,09:51:05.980000
00:22:41,2021-01-01 09:53:23.8260,2021-01-01 10:16:04.9040,3210,Pershing Field,40.742677141,-74.051788633,3681,Grand St,40.71517767732029,-74.03768330812454,42133,Customer,1969,unknown,2021-01-01,09:53:23.826000,2021-01-01,10:16:04.904000
00:05:11,2021-01-01 09:55:35.0350,2021-01-01 10:00:46.2580,3209,Brunswick St,40.7241765,-74.05065640000001,3185,City Hall,40.717732500000004,-74.04384499999999,27777,Subscriber,1988,male,2021-01-01,09:55:35.035000,2021-01-01,10:00:46.258000
00:03:36,2021-01-01 09:58:17.2360,2021-01-01 10:01:54.0860,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,3194,McGinley Square,40.7253399253558,-74.06762212514876,41002,Subscriber,1966,male,2021-01-01,09:58:17.236000,2021-01-01,10:01:54.086000
00:06:27,2021-01-01 09:58:19.5370,2021-01-01 10:04:46.8330,3212,Christ Hospital,40.734785818,-74.050443636,3640,Journal Square,40.733670000000004,-74.0625,42251,Customer,1995,male,2021-01-01,09:58:19.537000,2021-01-01,10:04:46.833000
00:08:35,2021-01-01 10:03:02.0930,2021-01-01 10:11:37.6020,3194,McGinley Square,40.7253399253558,-74.06762212514876,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,33887,Subscriber,1966,male,2021-01-01,10:03:02.093000,2021-01-01,10:11:37.602000
00:07:29,2021-01-01 10:11:16.9940,2021-01-01 10:18:46.6600,3267,Morris Canal,40.7124188237569,-74.03852552175522,3638,Washington St,40.7242941,-74.0354826,43928,Subscriber,1990,male,2021-01-01,10:11:16.994000,2021-01-01,10:18:46.660000
00:51:37,2021-01-01 10:16:34.1850,2021-01-01 11:08:11.6310,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3192,Liberty Light Rail,40.711242299999995,-74.0557013,44236,Subscriber,1978,male,2021-01-01,10:16:34.185000,2021-01-01,11:08:11.631000
00:11:47,2021-01-01 10:18:55.9130,2021-01-01 10:30:43.8490,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42112,Subscriber,1982,female,2021-01-01,10:18:55.913000,2021-01-01,10:30:43.849000
00:14:15,2021-01-01 10:19:38.0730,2021-01-01 10:33:53.6420,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3273,Manila & 1st,40.72165072487999,-74.04288411140442,29727,Subscriber,1968,male,2021-01-01,10:19:38.073000,2021-01-01,10:33:53.642000
00:03:42,2021-01-01 10:24:36.6460,2021-01-01 10:28:18.6970,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3186,Grove St PATH,40.71958611647166,-74.0431174635887,40954,Subscriber,1986,male,2021-01-01,10:24:36.646000,2021-01-01,10:28:18.697000
00:05:54,2021-01-01 10:32:33.6780,2021-01-01 10:38:28.1720,3187,Warren St,40.721123600000006,-74.03805095,3267,Morris Canal,40.7124188237569,-74.03852552175522,33677,Subscriber,1985,female,2021-01-01,10:32:33.678000,2021-01-01,10:38:28.172000
00:05:08,2021-01-01 10:34:27.8000,2021-01-01 10:39:36.2870,3212,Christ Hospital,40.734785818,-74.050443636,3210,Pershing Field,40.742677141,-74.051788633,40885,Subscriber,1988,male,2021-01-01,10:34:27.800000,2021-01-01,10:39:36.287000
00:05:07,2021-01-01 10:34:30.3090,2021-01-01 10:39:37.4130,3187,Warren St,40.721123600000006,-74.03805095,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,46326,Subscriber,1981,male,2021-01-01,10:34:30.309000,2021-01-01,10:39:37.413000
00:06:50,2021-01-01 10:39:15.0620,2021-01-01 10:46:05.2330,3267,Morris Canal,40.7124188237569,-74.03852552175522,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42343,Subscriber,1988,male,2021-01-01,10:39:15.062000,2021-01-01,10:46:05.233000
00:09:49,2021-01-01 10:52:27.3490,2021-01-01 11:02:17.3280,3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,3195,Sip Ave,40.73089709786179,-74.06391263008119,42342,Customer,1969,unknown,2021-01-01,10:52:27.349000,2021-01-01,11:02:17.328000
